Gd(ClO4)3,Co(Ac)2,NaAc,EtOH,NaOH,Y,source_file
2.62,0.59,0.66,4.08,2.05,0,GdCoOAc_(OH2-3).csv
1.33,0.84,0.74,4.81,2.28,0,GdCoOAc_(OH2-3).csv
1.45,0.64,0.8,4.18,2.92,1,GdCoOAc_(OH2-3).csv
1.66,0.91,0.84,3.69,2.9,0,GdCoOAc_(OH2-3).csv
1.06,0.94,0.97,4.13,2.9,0,GdCoOAc_(OH2-3).csv
2.71,0.58,0.56,3.66,2.47,0,GdCoOAc_(OH2-3).csv
2.21,0.7,0.51,4.24,2.34,1,GdCoOAc_(OH2-3).csv
1.35,0.76,0.7,4.89,2.3,0,GdCoOAc_(OH2-3).csv
1.5,0.88,0.57,4.24,2.8,0,GdCoOAc_(OH2-3).csv
2.23,0.75,0.92,3.57,2.53,0,GdCoOAc_(OH2-3).csv
2.99,0.58,0.6,2.85,2.98,0,GdCoOAc_(OH2-3).csv
1.13,0.83,0.59,4.45,2.99,0,GdCoOAc_(OH2-3).csv
1.39,0.63,0.94,4.82,2.22,1,GdCoOAc_(OH2-3).csv
2.83,0.52,0.96,2.98,2.71,0,GdCoOAc_(OH2-3).csv
1.55,0.67,0.9,4.1,2.78,0,GdCoOAc_(OH2-3).csv
1.79,0.55,0.84,4.63,2.19,1,GdCoOAc_(OH2-3).csv
2.49,0.57,0.62,3.37,2.94,0,GdCoOAc_(OH2-3).csv
2.26,0.65,0.87,4.09,2.13,1,GdCoOAc_(OH2-3).csv
2.11,0.52,0.57,3.82,2.97,0,GdCoOAc_(OH2-3).csv
1.0,0.78,0.73,4.66,2.82,0,GdCoOAc_(OH2-3).csv
2.69,0.61,0.54,3.3,2.86,0,GdCoOAc_(OH2-3).csv
2.06,0.68,0.9,3.76,2.6,0,GdCoOAc_(OH2-3).csv
1.44,0.64,0.71,3.99,3.22,0,GdCoOAc_(OH2.5-3.5).csv
2.17,0.85,0.84,3.06,3.08,0,GdCoOAc_(OH2.5-3.5).csv
1.73,0.84,0.95,3.12,3.35,0,GdCoOAc_(OH2.5-3.5).csv
