Gd(ClO4)3,Co(Ac)2,NaAc,NaOH,EtOH,entropy_model1,entropy_model2,avg_entropy
1.86,1.45,1.74,3.06,1.89,0.6931,0.6931,0.6931
1.78,1.43,1.91,2.27,2.63,0.6931,0.6931,0.6931
2.14,1.11,1.21,3.93,1.61,0.6931,0.6931,0.6931
2.2,1.84,1.42,2.88,1.65,0.6931,0.6931,0.6931
1.99,1.55,0.84,2.81,2.81,0.6931,0.6931,0.6931
2.33,0.84,0.63,2.63,3.57,0.6931,0.6931,0.6931
2.83,1.42,1.2,3.8,0.75,0.6931,0.6931,0.6931
2.75,0.65,1.08,4.0,1.53,0.6931,0.6931,0.6931
2.22,1.65,0.51,3.94,1.68,0.6931,0.6931,0.6931
2.88,1.86,1.96,3.24,0.06,0.6931,0.6931,0.6931
2.18,0.74,1.28,3.36,2.44,0.6931,0.6931,0.6931
2.68,1.84,0.93,3.78,0.76,0.6931,0.6931,0.6931
1.8,1.29,1.24,2.32,3.36,0.6931,0.6931,0.6931
2.21,0.51,0.91,2.03,4.35,0.6931,0.6931,0.6931
1.98,0.88,0.8,3.56,2.78,0.6931,0.6931,0.6931
1.83,0.71,1.96,2.99,2.52,0.6931,0.6931,0.6931
2.38,1.89,1.99,3.28,0.46,0.6931,0.6931,0.6931
2.79,0.53,1.21,2.04,3.43,0.6931,0.6931,0.6931
2.7,0.61,0.74,3.41,2.55,0.6931,0.6931,0.6931
2.15,1.19,0.52,3.21,2.93,0.6931,0.6931,0.6931
2.46,1.22,1.86,3.4,1.06,0.6931,0.6931,0.6931
1.55,1.36,1.57,2.71,2.81,0.6931,0.6931,0.6931
1.79,0.99,0.66,2.91,3.64,0.6931,0.6931,0.6931
1.74,0.61,0.7,2.22,4.73,0.6931,0.6931,0.6931
1.62,1.49,0.7,2.29,3.9,0.6931,0.6931,0.6931
2.18,0.88,1.73,2.23,2.98,0.6931,0.6931,0.6931
2.24,1.63,0.96,3.27,1.9,0.6931,0.6931,0.6931
2.82,0.61,0.77,2.85,2.96,0.6931,0.6931,0.6931
2.91,0.53,1.92,3.96,0.68,0.6931,0.6931,0.6931
2.18,1.81,1.66,2.33,2.02,0.6931,0.6931,0.6931
1.84,1.99,1.18,3.7,1.29,0.6931,0.6931,0.6931
1.87,0.81,1.26,2.16,3.9,0.6931,0.6931,0.6931
2.71,0.56,0.7,2.26,3.78,0.693,0.693,0.693
1.87,1.17,1.21,2.93,2.83,0.693,0.693,0.693
2.26,0.74,0.55,3.86,2.59,0.693,0.693,0.693
1.99,1.99,1.9,2.92,1.2,0.693,0.693,0.693
1.61,0.66,0.9,2.68,4.14,0.693,0.693,0.693
2.93,1.59,1.58,3.49,0.42,0.6929,0.6929,0.6929
2.6,0.57,1.99,3.17,1.67,0.6929,0.6929,0.6929
2.29,0.51,1.69,2.63,2.87,0.6929,0.6929,0.6929
2.19,0.57,1.72,3.66,1.86,0.6929,0.6929,0.6929
1.88,1.92,0.52,2.49,3.18,0.6929,0.6929,0.6929
2.79,0.55,1.89,2.1,2.67,0.6928,0.6928,0.6928
1.57,2.0,0.7,3.42,2.32,0.6928,0.6928,0.6928
1.79,0.6,1.54,2.71,3.36,0.6927,0.6927,0.6927
2.04,1.8,1.0,2.18,2.99,0.6927,0.6927,0.6927
2.68,1.24,1.63,3.97,0.48,0.6927,0.6927,0.6927
2.94,0.96,0.55,3.82,1.73,0.6919,0.6919,0.6919
1.73,1.57,0.52,3.61,2.57,0.6917,0.6917,0.6917
2.88,0.55,1.28,3.15,2.14,0.6917,0.6917,0.6917
1.52,1.06,0.5,2.04,4.88,0.6917,0.6917,0.6917
2.31,1.58,1.55,3.33,1.23,0.6914,0.6914,0.6914
2.92,1.01,1.94,3.74,0.39,0.6899,0.6899,0.6899
1.86,0.63,1.14,3.94,2.42,0.6887,0.6887,0.6887
2.78,0.52,1.45,3.67,1.58,0.6851,0.6851,0.6851
2.04,1.19,0.77,2.05,3.94,0.6848,0.6848,0.6848
2.51,1.91,0.85,2.79,1.93,0.682,0.682,0.682
2.57,1.99,1.29,3.37,0.78,0.6819,0.6819,0.6819
2.35,0.55,0.82,3.03,3.26,0.6813,0.6813,0.6813
2.99,1.97,0.53,3.8,0.71,0.676,0.676,0.676
2.2,0.78,1.17,2.66,3.2,0.6754,0.6754,0.6754
1.85,1.48,0.95,3.98,1.75,0.6722,0.6722,0.6722
2.13,0.99,1.88,3.88,1.12,0.6684,0.6684,0.6684
2.45,1.95,1.98,2.01,1.61,0.6683,0.6683,0.6683
2.83,0.51,1.92,2.62,2.13,0.6657,0.6657,0.6657
1.51,2.0,0.66,2.21,3.63,0.6644,0.6644,0.6644
2.95,1.99,1.88,2.01,1.17,0.6625,0.6625,0.6625
2.63,1.99,1.68,3.73,-0.04,0.6617,0.6617,0.6617
1.02,1.09,0.63,2.35,4.92,0.6527,0.6527,0.6527
1.74,1.96,1.12,3.1,2.09,0.652,0.652,0.652
2.19,1.34,1.89,2.72,1.87,0.6519,0.6519,0.6519
2.01,1.14,1.57,3.49,1.78,0.6495,0.6495,0.6495
2.65,0.55,1.34,2.7,2.75,0.6479,0.6479,0.6479
2.62,1.96,1.79,2.85,0.77,0.6467,0.6467,0.6467
2.49,1.24,0.6,3.99,1.68,0.6446,0.6446,0.6446
2.41,1.59,1.91,3.81,0.27,0.6406,0.6406,0.6406
2.13,1.49,1.41,2.03,2.94,0.6391,0.6391,0.6391
1.6,0.67,1.11,3.16,3.46,0.6385,0.6385,0.6385
2.88,1.27,1.97,2.05,1.83,0.6385,0.6385,0.6385
2.64,1.48,1.96,2.99,0.92,0.6376,0.6376,0.6376
2.23,1.89,1.51,3.97,0.4,0.6372,0.6372,0.6372
2.85,1.13,0.76,2.32,2.94,0.6354,0.6354,0.6354
2.93,1.13,1.79,3.23,0.91,0.633,0.633,0.633
1.62,1.01,0.64,3.98,2.74,0.6315,0.6315,0.6315
1.73,1.55,1.46,3.6,1.66,0.6304,0.6304,0.6304
1.0,1.08,0.59,3.96,3.37,0.6203,0.6203,0.6203
1.74,1.94,0.75,3.98,1.58,0.6185,0.6185,0.6185
1.38,1.5,1.15,2.09,3.87,0.6171,0.6171,0.6171
2.67,1.62,1.61,2.06,2.04,0.6109,0.6109,0.6109
1.84,1.97,1.81,3.77,0.61,0.6086,0.6086,0.6086
2.29,0.86,1.67,3.05,2.14,0.6077,0.6077,0.6077
2.62,1.36,0.84,3.46,1.72,0.602,0.602,0.602
2.94,1.81,1.4,2.78,1.07,0.6019,0.6019,0.6019
1.63,1.06,1.16,3.59,2.56,0.5999,0.5999,0.5999
2.89,1.03,0.5,2.81,2.77,0.598,0.598,0.598
2.39,1.35,1.35,2.87,2.04,0.5939,0.5939,0.5939
2.55,1.96,0.81,2.0,2.69,0.593,0.593,0.593
2.92,1.71,1.85,3.99,-0.47,0.5907,0.5907,0.5907
1.82,0.51,1.95,2.38,3.35,0.5893,0.5893,0.5893
2.33,1.34,1.88,2.1,2.35,0.589,0.589,0.589
